"","zip","adult_n","obese_n","non_obese_n","obese_p","households","income","rural_n","urban_n","ru"
"1",53001,1353,236,1117,17.4427198817443,788,72206,1901,0,"rural"
"2",53002,2029,412,1617,20.305569245934,869,85478,2299,0,"rural"
"3",53004,2408,254,2154,10.5481727574751,1217,77989,3330,0,"rural"
"4",53005,15189,1549,13640,10.1981697280927,7556,97202,0,19425,"urban"
"5",53006,458,28,430,6.11353711790393,670,74107,1779,0,"rural"
"6",53007,1437,228,1209,15.866388308977,895,41925,0,1841,"urban"
"7",53010,5961,1057,4904,17.7319241737963,2994,63509,7681,0,"rural"
"8",53011,1510,229,1281,15.1655629139073,932,72500,2260,0,"rural"
"9",53012,14222,1667,12555,11.7212768949515,7351,88844,5030,13067,"urban"
"10",53013,2457,258,2199,10.5006105006105,1301,68938,3308,0,"rural"
"11",53014,4757,348,4409,7.31553500105108,3327,61834,4372,3590,"rural"
"12",53015,1806,207,1599,11.4617940199336,1025,67740,2609,0,"rural"
"13",53017,4569,742,3827,16.2398774348873,2123,106577,2619,2919,"urban"
"14",53018,4357,196,4161,4.49850814780813,3105,97482,1751,6148,"urban"
"15",53019,1192,77,1115,6.45973154362416,764,61053,1135,892,"rural"
"16",53020,2930,409,2521,13.9590443686007,1654,63167,3500,0,"rural"
"17",53021,3747,470,3277,12.5433680277555,1959,82750,4709,0,"rural"
"18",53022,14367,3105,11262,21.6120275631656,7657,79230,1870,17050,"urban"
"19",53023,566,84,482,14.8409893992933,527,68750,1496,0,"rural"
"20",53024,13125,1414,11711,10.7733333333333,6821,75592,3076,13503,"urban"
"21",53027,16978,2452,14526,14.4422193426788,8987,68701,7375,14666,"urban"
"22",53029,15320,859,14461,5.60704960835509,7738,91435,2004,18795,"urban"
"23",53032,3495,733,2762,20.9728183118741,1834,62800,1264,3493,"urban"
"24",53033,3838,669,3169,17.430953621678,2115,92620,1747,3138,"urban"
"25",53034,1169,158,1011,13.5158254918734,686,62708,1811,0,"rural"
"26",53035,1543,232,1311,15.0356448476993,915,64414,2406,0,"rural"
"27",53036,208,17,191,8.17307692307692,1134,75179,1770,950,"rural"
"28",53037,7101,1748,5353,24.6162512322208,3703,74327,1821,7439,"urban"
"29",53038,3026,274,2752,9.05485789821546,1590,75000,1312,2701,"urban"
"30",53039,3655,592,3063,16.1969904240766,1628,57800,2127,2736,"urban"
"31",53040,6139,1800,4339,29.3207362762665,2980,70938,4057,4007,"rural"
"32",53042,5356,523,4833,9.7647498132935,2877,58583,2949,3741,"urban"
