Date,PercentOfBaseline,City
2020-07-05,52,Sydney
2020-05-28,61,Sydney
2020-05-07,62,Sydney
2020-06-24,58,Sydney
2020-08-05,20,Sydney
2020-10-16,18,Sydney
2020-06-01,55,Sydney
2020-06-18,59,Sydney
2020-09-15,19,Sydney
2020-08-10,19,Sydney
2020-08-30,10,Sydney
2020-08-04,20,Sydney
2020-04-17,69,Sydney
2020-04-23,61,Sydney
2020-06-22,50,Sydney
2020-04-19,49,Sydney
2020-10-14,23,Sydney
2020-08-12,19,Sydney
2020-07-13,52,Sydney
2020-04-02,77,Sydney
2020-04-24,62,Sydney
2020-05-12,54,Sydney
2020-05-05,56,Sydney
2020-03-25,84,Sydney
2020-09-14,18,Sydney
2020-10-11,25,Sydney
2020-06-17,58,Sydney
2020-06-23,58,Sydney
2020-09-16,18,Sydney
2020-08-28,22,Sydney
2020-07-27,17,Sydney
2020-08-16,13,Sydney
2020-09-18,16,Sydney
2020-04-06,59,Sydney
2020-08-01,25,Sydney
2020-04-16,60,Sydney
2020-05-21,54,Sydney
2020-06-25,62,Sydney
2020-06-29,57,Sydney
2020-07-12,54,Sydney
2020-03-24,89,Sydney
2020-06-26,53,Sydney
2020-06-28,48,Sydney
2020-06-11,64,Sydney
2020-07-17,51,Sydney
2020-09-27,12,Sydney
2020-05-03,50,Sydney
2020-07-03,46,Sydney
2020-08-14,26,Sydney
2020-09-29,21,Sydney
2020-03-26,76,Sydney
2020-05-31,51,Sydney
2020-03-16,92,Sydney
2020-06-15,52,Sydney
2020-03-18,97,Sydney
2020-09-20,16,Sydney
2020-04-03,64,Sydney
2020-10-07,16,Sydney
2020-07-18,36,Sydney
2020-04-07,64,Sydney
2020-10-10,18,Sydney
2020-04-20,60,Sydney
2020-05-26,53,Sydney
2020-07-30,22,Sydney
2020-09-08,12,Sydney
2020-05-13,56,Sydney
2020-07-10,54,Sydney
2020-07-14,58,Sydney
2020-09-23,17,Sydney
2020-08-27,17,Sydney
2020-06-09,54,Sydney
2020-07-15,58,Sydney
2020-07-24,35,Sydney
2020-04-18,32,Sydney
2020-10-12,22,Sydney
2020-08-03,15,Sydney
2020-07-01,62,Sydney
2020-09-17,17,Sydney
2020-05-30,30,Sydney
2020-06-20,26,Sydney
2020-09-03,12,Sydney
2020-07-29,18,Sydney
2020-08-20,13,Sydney
2020-09-04,15,Sydney
2020-09-26,18,Sydney
2020-05-20,61,Sydney
2020-09-21,15,Sydney
2020-06-03,61,Sydney
2020-04-09,54,Sydney
2020-07-07,59,Sydney
2020-04-14,59,Sydney
2020-08-22,27,Sydney
2020-10-06,22,Sydney
2020-07-09,55,Sydney
2020-08-25,12,Sydney
2020-05-09,19,Sydney
2020-10-05,10,Sydney
2020-09-24,15,Sydney
2020-07-31,25,Sydney
2020-04-15,61,Sydney
2020-09-09,16,Sydney
2020-08-19,20,Sydney
2020-05-08,56,Sydney
2020-07-02,56,Sydney
2020-08-09,19,Sydney
2020-04-08,69,Sydney
2020-05-24,40,Sydney
2020-03-21,100,Sydney
2020-09-25,13,Sydney
2020-08-24,11,Sydney
2020-08-06,21,Sydney
2020-03-20,85,Sydney
2020-04-29,59,Sydney
2020-04-11,22,Sydney
2020-05-22,50,Sydney
2020-10-04,6,Sydney
2020-09-11,17,Sydney
2020-09-05,27,Sydney
2020-07-26,17,Sydney
2020-07-04,48,Sydney
2020-04-22,60,Sydney
2020-04-21,65,Sydney
2020-04-05,57,Sydney
2020-09-10,16,Sydney
2020-03-31,71,Sydney
2020-05-29,54,Sydney
2020-10-01,19,Sydney
2020-06-07,21,Sydney
2020-06-14,55,Sydney
2020-08-31,18,Sydney
2020-06-12,60,Sydney
2020-10-03,20,Sydney
2020-05-18,51,Sydney
2020-04-26,48,Sydney
2020-07-21,59,Sydney
2020-05-17,43,Sydney
2020-09-12,29,Sydney
2020-05-14,59,Sydney
2020-09-30,16,Sydney
2020-09-07,11,Sydney
2020-06-04,59,Sydney
2020-04-01,69,Sydney
2020-05-02,41,Sydney
2020-08-08,26,Sydney
2020-03-17,90,Sydney
2020-05-11,47,Sydney
2020-07-25,35,Sydney
2020-04-12,25,Sydney
2020-03-22,89,Sydney
2020-06-30,62,Sydney
2020-03-23,84,Sydney
2020-08-26,11,Sydney
2020-04-10,8,Sydney
2020-06-05,50,Sydney
2020-05-16,23,Sydney
2020-08-18,21,Sydney
2020-08-07,22,Sydney
2020-10-09,24,Sydney
2020-08-11,20,Sydney
2020-05-27,58,Sydney
2020-05-04,53,Sydney
2020-06-19,65,Sydney
2020-08-21,17,Sydney
2020-10-15,18,Sydney
2020-06-21,46,Sydney
2020-05-15,59,Sydney
2020-06-10,56,Sydney
2020-06-13,36,Sydney
2020-07-19,52,Sydney
2020-07-28,22,Sydney
2020-07-20,51,Sydney
2020-08-23,9,Sydney
2020-04-30,65,Sydney
2020-07-11,52,Sydney
2020-05-25,53,Sydney
2020-06-08,25,Sydney
2020-03-19,89,Sydney
2020-06-02,59,Sydney
2020-05-10,40,Sydney
2020-06-16,63,Sydney
2020-05-23,16,Sydney
2020-08-15,16,Sydney
2020-07-23,57,Sydney
2020-07-08,55,Sydney
2020-09-06,9,Sydney
2020-03-27,81,Sydney
2020-03-30,75,Sydney
2020-10-02,16,Sydney
2020-06-27,51,Sydney
2020-05-06,52,Sydney
2020-09-13,10,Sydney
2020-07-22,65,Sydney
2020-08-13,14,Sydney
2020-05-01,61,Sydney
2020-09-22,16,Sydney
2020-04-28,57,Sydney
2020-07-16,56,Sydney
2020-09-19,26,Sydney
2020-08-02,13,Sydney
2020-03-29,66,Sydney
2020-10-08,24,Sydney
2020-05-19,60,Sydney
2020-03-28,62,Sydney
2020-04-13,29,Sydney
2020-09-01,15,Sydney
2020-10-13,21,Sydney
2020-04-04,27,Sydney
2020-09-28,12,Sydney
2020-04-27,53,Sydney
2020-07-06,55,Sydney
2020-09-02,18,Sydney
