Staff,Name,Role,First join,Last leave,Total time,Joins
emma,105456dda9bb7203ccd31b4ad204cc45,Presenter,10/12/2020 12:50:58,10/12/2020 14:18:20,01:27:21,1
emma,60766eb69bd63f59b909b043a08520e5,Presenter,10/12/2020 12:58:48,10/12/2020 14:15:05,01:15:31,2
emma,ce0843389ec1c430b99d738e541a844b,Presenter,10/12/2020 12:59:01,10/12/2020 14:15:24,01:16:18,2
emma,fc334a2dfd5140be060893a9c6afcfdf,Presenter,10/12/2020 13:00:40,10/12/2020 14:08:17,01:07:36,1
emma,a837010ec752cdf650d641700901f64e,Presenter,10/12/2020 13:01:26,10/12/2020 14:17:21,01:11:27,2
emma,76eeb062f173cf87f5f99df79ebdb759,Presenter,10/12/2020 13:01:29,10/12/2020 14:18:21,01:16:51,1
emma,EMMA BROSTROM,Moderator,10/12/2020 13:10:40,10/12/2020 14:00:55,00:50:15,1
emma,3eea16480b4572d2331c890ac34593c6,Presenter,10/12/2020 14:57:02,10/12/2020 15:53:43,00:56:41,1
emma,df1f590c832ed558acb1b4d17dda4b5b,Presenter,10/12/2020 14:57:17,10/12/2020 15:53:50,00:56:33,1
emma,9314207a9cbe7578f1d663decd0734f4,Presenter,10/12/2020 14:57:24,10/12/2020 15:54:08,00:56:44,1
emma,f0ff401179a76973bd8f67bcfa102f86,Presenter,10/12/2020 15:02:41,10/12/2020 15:54:06,00:51:25,1
emma,EMMA BROSTROM,Moderator,10/12/2020 15:09:54,10/12/2020 16:59:28,01:33:52,3
emma,3db9a6429d1bd319781ec285a35c01b6,Presenter,10/12/2020 15:58:38,10/12/2020 17:00:09,01:01:30,1
emma,d06c625a7a83184e3fbfc9e0afa7c8d1,Presenter,10/12/2020 15:59:37,10/12/2020 16:59:48,01:00:11,1
emma,b0c05e63529048b3ce9e7ba301a150d1,Presenter,10/12/2020 16:00:36,10/12/2020 16:59:17,00:58:41,1
emma,2bb4a0264113326a5b9d0b0c1d602fda,Presenter,10/13/2020 12:48:42,10/13/2020 14:52:17,01:58:49,6
emma,8a83d562abc9e1dadbe887f58d6a54fc,Presenter,10/13/2020 12:57:43,10/13/2020 13:43:15,00:45:31,1
emma,EMMA BROSTROM,Moderator,10/13/2020 13:00:37,10/13/2020 14:57:59,01:57:22,1
emma,3b86080ce19f29762761b1b429cfa755,Presenter,10/13/2020 13:09:51,10/13/2020 14:18:12,00:00:19,2
emma,fbdcaa668860339338de879c9fb03127,Presenter,10/13/2020 13:27:03,10/13/2020 14:15:09,00:48:05,1
emma,4ba67e748af3cc22e0ebc1c522d3efe4,Presenter,10/14/2020 11:57:57,10/14/2020 12:56:16,00:58:18,1
emma,b28d750da1cf3490bfff6b61798de4be,Presenter,10/14/2020 12:00:11,10/14/2020 12:56:16,00:56:04,1
emma,d63e3392bdb4d42827bdd39258846281,Presenter,10/14/2020 12:03:14,10/14/2020 12:56:22,00:53:07,1
emma,EMMA BROSTROM,Moderator,10/14/2020 12:09:19,10/14/2020 13:54:28,01:31:56,2
emma,255aeab935469aff64b39a8675fe6e4b,Presenter,10/14/2020 12:10:48,10/14/2020 12:56:24,00:45:35,1
emma,619d3c78dbdf2294092673fa59c04f89,Presenter,10/14/2020 13:01:20,10/14/2020 13:54:23,00:53:02,1
emma,9c3e055bcf30ba55f529b5f2d85468d3,Presenter,10/14/2020 13:04:15,10/14/2020 13:54:26,00:50:11,1
emma,fc89668809212ce6975e1523b85c6f30,Presenter,10/18/2020 09:01:16,10/18/2020 09:01:19,00:00:02,1
emma,f0ff401179a76973bd8f67bcfa102f86,Presenter,10/19/2020 14:57:34,10/19/2020 15:42:19,00:44:44,1
emma,9314207a9cbe7578f1d663decd0734f4,Presenter,10/19/2020 14:59:33,10/19/2020 15:38:24,00:38:51,1
emma,0fdeea1df752b8fd62032225a359b3ea,Presenter,10/19/2020 15:03:02,10/19/2020 16:04:25,01:00:57,2
emma,df1f590c832ed558acb1b4d17dda4b5b,Presenter,10/19/2020 15:09:02,10/19/2020 15:42:00,00:27:47,2
emma,EMMA BROSTROM,Moderator,10/19/2020 15:11:20,10/19/2020 16:26:14,01:02:06,2
emma,3db9a6429d1bd319781ec285a35c01b6,Presenter,10/19/2020 15:57:45,10/19/2020 16:25:17,00:27:32,1
emma,b0c05e63529048b3ce9e7ba301a150d1,Presenter,10/19/2020 15:59:11,10/19/2020 16:19:36,00:20:24,1
emma,d06c625a7a83184e3fbfc9e0afa7c8d1,Presenter,10/19/2020 16:00:24,10/19/2020 16:19:32,00:19:07,1
emma,a837010ec752cdf650d641700901f64e,Presenter,10/19/2020 12:59:27,10/19/2020 13:44:21,00:44:54,1
emma,60766eb69bd63f59b909b043a08520e5,Presenter,10/19/2020 13:00:07,10/19/2020 13:44:26,00:44:18,1
emma,ce0843389ec1c430b99d738e541a844b,Presenter,10/19/2020 13:00:11,10/19/2020 13:47:13,00:47:02,1
